id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,polarity,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,host_is_superhost
1936861,143,98.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.8987604316546762,60.00,0,0,1,10.00,1,1125,True
4461111,2,100.0,9.0,10.0,10.0,9.0,7.0,9.0,Roslindale,0.9482999999999999,45.00,0,0,1,0.00,2,1125,True
1724900,26,92.0,10.0,10.0,10.0,10.0,9.0,9.0,Roslindale,0.9237958333333336,145.00,446.00,56.00,3,33.00,5,1125,False
13937181,5,96.0,10.0,9.0,10.0,10.0,9.0,9.0,Roslindale,0.9235,45.00,0,0,1,10.00,2,1125,False
3968797,29,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.9468720000000002,85.00,0,10.00,1,0.00,1,1125,True
1494726,9,93.0,9.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.8860777777777777,75.00,200.00,50.00,1,25.00,3,1125,False
8473851,14,99.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.9648571428571426,50.00,0,0,1,10.00,2,1125,False
3575220,8,97.0,10.0,9.0,10.0,10.0,9.0,10.0,Roslindale,0.73265,45.00,0,0,1,0.00,2,1125,True
1591827,117,92.0,10.0,10.0,10.0,10.0,9.0,9.0,Roslindale,0.8720681818181819,60.00,0,0,2,50.00,2,5,False
3229255,53,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9438549019607844,95.00,250.00,35.00,1,0.00,1,180,True
1721016,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.6488666666666667,89.00,223.00,45.00,2,39.00,3,1125,False
594693,23,93.0,9.0,8.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.8790347826086954,70.00,0,10.00,1,10.00,2,1125,False
2384581,14,93.0,9.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.8949461538461538,95.00,0,0,1,20.00,1,14,False
735970,3,100.0,10.0,9.0,9.0,9.0,10.0,10.0,Jamaica Plain,0.9420000000000001,55.00,0,0,1,0.00,300,365,False
4262255,57,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9472528301886788,80.00,0,0,1,0.00,2,8,True
4000384,58,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9222800000000001,120.00,0,0,1,0.00,2,1125,False
6693305,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.979,65.00,0,0,1,0.00,1,1125,True
6730758,46,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9316999999999998,100.00,0,0,2,20.00,2,14,True
6248970,68,96.0,10.0,9.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9089187499999999,65.00,0,0,1,0.00,3,30,True
14246616,3,73.0,9.0,5.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8976333333333333,63.00,0,0,1,0.00,2,5,False
3703674,4,100.0,9.0,10.0,10.0,9.0,10.0,9.0,Jamaica Plain,0.8711000000000001,75.00,200.00,0,1,0.00,1,1125,False
4792901,2,90.0,9.0,9.0,9.0,9.0,10.0,9.0,Jamaica Plain,0.8532500000000001,65.00,0,10.00,1,25.00,1,1125,False
5717528,7,94.0,10.0,10.0,10.0,9.0,9.0,9.0,Jamaica Plain,0.9319428571428572,110.00,0,0,1,0.00,1,34,False
5601743,18,82.0,8.0,7.0,9.0,9.0,9.0,8.0,Jamaica Plain,0.7843266666666668,46.00,200.00,50.00,2,25.00,2,40,False
519272,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.8564999999999999,62.00,150.00,25.00,2,50.00,3,10,False
8481291,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9928,69.00,0,20.00,1,15.00,2,29,False
6990904,19,99.0,10.0,9.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.8786,73.00,0,50.00,1,0.00,1,1125,False
197727,22,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9616450000000001,85.00,0,0,1,20.00,2,180,False
932853,17,96.0,9.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.9064750000000001,120.00,500.00,80.00,1,20.00,1,1125,True
11159585,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.796,125.00,100.00,0,1,25.00,2,1125,False
9677354,7,93.0,10.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.8249833333333333,70.00,0,0,1,0.00,1,1125,False
7956634,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.8786666666666666,61.00,0,10.00,1,0.00,1,1125,False
568234,132,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.8953071428571424,125.00,0,0,2,50.00,1,60,False
1030500,14,88.0,9.0,9.0,10.0,10.0,8.0,9.0,Jamaica Plain,0.7855461538461538,100.00,0,0,1,0.00,1,1125,False
12930651,12,98.0,10.0,9.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9432818181818182,80.00,0,0,1,0.00,2,1125,False
3997572,3,100.0,10.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9380666666666667,85.00,0,0,1,0.00,1,1125,False
4223387,43,91.0,9.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9033232558139533,75.00,0,0,1,25.00,1,3,False
12855396,1,20.0,10.0,10.0,10.0,10.0,2.0,6.0,Jamaica Plain,-0.4724,57.00,0,0,1,0.00,7,1125,False
2963419,20,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9830235294117647,100.00,0,100.00,1,0.00,4,1125,False
5904732,9,93.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9177222222222223,70.00,100.00,20.00,1,0.00,1,1125,False
3591359,26,95.0,10.0,9.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9052875,190.00,0,0,2,15.00,4,1125,True
2538536,17,95.0,9.0,9.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.8281882352941179,149.00,0,50.00,1,0.00,7,1125,False
4975581,47,94.0,9.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8514780487804877,168.00,200.00,120.00,1,0.00,3,1125,False
4767023,9,87.0,10.0,9.0,10.0,10.0,8.0,9.0,Jamaica Plain,0.8842111111111111,205.00,0,50.00,1,0.00,2,1125,False
6364042,17,92.0,9.0,9.0,9.0,10.0,9.0,9.0,Jamaica Plain,0.8081461538461538,65.00,100.00,15.00,1,0.00,1,1125,False
7986179,5,92.0,10.0,9.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.89154,75.00,0,18.00,1,0.00,1,1125,False
1109224,35,91.0,10.0,9.0,9.0,10.0,9.0,9.0,Jamaica Plain,0.84505,429.00,400.00,0,6,15.00,3,60,False
1067184,53,95.0,9.0,9.0,10.0,9.0,10.0,9.0,Jamaica Plain,0.9135666666666667,95.00,0,0,1,10.00,2,1125,False
777903,17,94.0,10.0,9.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9389375000000001,85.00,0,0,1,0.00,1,1125,False
1301500,13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9639,69.00,0,30.00,1,15.00,3,20,True
8923817,9,93.0,9.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.9320125,165.00,800.00,0,1,0.00,2,1125,False
14057466,2,90.0,10.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.89525,150.00,200.00,50.00,4,50.00,5,120,False
5521378,6,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9781166666666666,87.00,95.00,25.00,1,25.00,2,10,False
13041602,20,96.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9296588235294119,62.00,0,0,1,0.00,2,1125,False
2621242,6,97.0,10.0,10.0,9.0,9.0,10.0,10.0,Jamaica Plain,0.9270333333333335,110.00,200.00,40.00,2,10.00,2,1125,False
950046,6,90.0,9.0,10.0,9.0,10.0,10.0,10.0,Jamaica Plain,0.7794166666666666,250.00,250.00,90.00,1,0.00,4,14,False
3342094,14,97.0,10.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.8994692307692309,150.00,500.00,200.00,2,35.00,2,1125,True
5652147,3,93.0,9.0,9.0,9.0,9.0,9.0,9.0,Jamaica Plain,0.8850666666666666,300.00,500.00,140.00,2,50.00,2,1125,False
14105971,13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9695727272727271,119.00,0,35.00,1,0.00,1,1125,False
2875267,148,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.938661379310345,175.00,250.00,25.00,2,0.00,2,1125,True
9485607,24,96.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9269045454545453,195.00,100.00,95.00,3,25.00,4,1125,True
7273770,4,90.0,10.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.8683333333333333,145.00,400.00,80.00,1,0.00,2,1125,False
5405928,10,92.0,10.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.8692333333333333,200.00,0,50.00,1,0.00,2,1125,False
4586681,42,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9542609756097562,90.00,150.00,0,1,0.00,1,1125,False
1113272,41,94.0,10.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8847710526315791,210.00,0,50.00,4,50.00,2,20,False
12647606,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.854057142857143,75.00,0,15.00,1,15.00,2,14,False
10271867,2,90.0,10.0,8.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9476500000000001,46.00,0,10.00,1,0.00,1,1125,False
7879708,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9314999999999999,75.00,0,0,1,0.00,2,1125,False
3881993,8,89.0,9.0,8.0,9.0,9.0,9.0,8.0,Jamaica Plain,0.8323142857142857,500.00,400.00,100.00,6,0.00,1,1125,False
12566065,4,90.0,10.0,9.0,10.0,10.0,8.0,10.0,Jamaica Plain,0.723675,60.00,0,0,1,0.00,2,10,False
6602217,66,90.0,9.0,9.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8550761904761909,130.00,200.00,45.00,1,0.00,2,1125,False
3276286,39,88.0,9.0,9.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.7543970588235294,190.00,500.00,80.00,4,20.00,2,1125,False
2014651,24,91.0,9.0,9.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.7173304347826087,100.00,0,0,1,0.00,2,1125,False
6053700,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9427000000000001,450.00,0,150.00,1,0.00,1,1125,False
4405982,18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9276941176470589,399.00,100.00,120.00,4,0.00,2,1125,True
250983,13,98.0,10.0,9.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8671000000000001,350.00,100.00,50.00,4,25.00,1,270,True
2308630,32,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9384903225806451,200.00,150.00,0,2,10.00,2,14,False
8272350,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9801,99.00,150.00,40.00,1,0.00,2,1125,False
4098410,20,81.0,9.0,8.0,9.0,9.0,8.0,8.0,Jamaica Plain,0.7843500000000002,107.00,200.00,60.00,2,30.00,2,1125,False
6322283,18,96.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9178599999999999,69.00,0,20.00,1,0.00,1,7,False
7823025,57,92.0,10.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.8432999999999998,76.00,0,15.00,1,15.00,1,1125,False
9549850,48,95.0,10.0,9.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9244608695652173,75.00,0,25.00,1,25.00,2,200,True
7845607,9,78.0,9.0,6.0,9.0,9.0,9.0,8.0,Jamaica Plain,0.7951555555555556,55.00,0,20.00,1,25.00,1,1125,False
14071446,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.8283,65.00,0,0,1,0.00,1,1125,False
11826815,5,96.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.62048,88.00,0,0,1,0.00,2,30,True
4765070,139,93.0,9.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8555476562499996,90.00,0,40.00,1,0.00,2,1125,False
2880944,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9385749999999999,185.00,0,75.00,1,0.00,5,1125,False
10253591,21,91.0,9.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8997571428571428,105.00,200.00,7.00,1,10.00,2,1125,False
1881298,192,95.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.898806818181818,90.00,0,0,1,0.00,1,1125,False
210097,115,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9155991150442478,100.00,100.00,50.00,2,0.00,3,31,True
6059968,10,98.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.91328,100.00,500.00,50.00,1,20.00,1,1125,True
6862758,11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9593909090909091,200.00,200.00,100.00,1,0.00,2,1125,False
799701,2,100.0,10.0,10.0,9.0,10.0,9.0,9.0,Jamaica Plain,0.98085,300.00,300.00,100.00,6,25.00,4,1125,False
9057435,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.93876,319.00,0,40.00,6,25.00,1,1125,False
750438,91,96.0,10.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.9500321839080461,85.00,0,25.00,1,0.00,2,21,True
12874603,10,74.0,9.0,8.0,9.0,8.0,8.0,9.0,Jamaica Plain,0.5440666666666667,70.00,0,0,1,0.00,1,1125,False
12727401,2,60.0,6.0,6.0,8.0,10.0,10.0,6.0,Jamaica Plain,0.9201,50.00,0,0,1,0.00,1,1125,False
2077794,14,86.0,8.0,8.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9352666666666667,119.00,0,60.00,0,0.00,3,1125,False
9712731,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.8003,125.00,0,15.00,2,20.00,1,1125,False
13677640,5,80.0,6.0,7.0,10.0,8.0,9.0,9.0,Jamaica Plain,0.7271333333333333,53.00,0,0,1,0.00,1,7,False
3371091,13,95.0,10.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.9152230769230769,125.00,300.00,50.00,1,50.00,1,1125,True
13512551,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,Jamaica Plain,0.9783,199.00,0,0,5,30.00,3,13,False
732999,14,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9370083333333333,205.00,0,50.00,4,0.00,2,90,False
6106955,8,95.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9227624999999999,114.00,250.00,80.00,2,15.00,4,1125,False
2698996,131,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9161515873015872,75.00,0,0,1,15.00,2,30,True
27611,8,86.0,9.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.7846833333333333,185.00,200.00,50.00,2,0.00,3,365,False
4025194,150,97.0,10.0,9.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9288833333333331,75.00,0,0,2,25.00,1,10,True
12071820,5,96.0,10.0,9.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9740666666666667,70.00,0,0,1,0.00,1,1125,False
7910223,71,96.0,10.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9349060606060607,150.00,0,40.00,2,15.00,2,90,True
4567815,10,96.0,10.0,10.0,9.0,10.0,9.0,10.0,Jamaica Plain,0.9774666666666667,120.00,0,50.00,1,0.00,1,21,False
12022134,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.2023,92.00,0,10.00,1,0.00,14,1125,False
13513012,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9878199999999999,84.00,298.00,0,0,0.00,3,30,False
3730447,29,89.0,9.0,9.0,9.0,10.0,9.0,9.0,Jamaica Plain,0.9325640000000002,200.00,0,0,4,50.00,2,14,False
4149974,70,96.0,10.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.874510447761194,115.00,0,30.00,0,0.00,2,15,True
6238463,25,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9627320000000001,95.00,0,30.00,1,0.00,2,1125,True
1929406,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9368,275.00,450.00,80.00,1,0.00,3,9,False
4583526,75,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9386477611940295,230.00,0,50.00,4,40.00,2,1125,True
7287822,59,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9380053571428573,130.00,0,45.00,3,30.00,2,29,False
8354938,20,93.0,10.0,10.0,10.0,10.0,8.0,9.0,Jamaica Plain,0.8673705882352941,192.00,650.00,64.00,4,10.00,3,185,False
5025015,99,85.0,9.0,8.0,9.0,10.0,8.0,9.0,Jamaica Plain,0.7391885057471266,175.00,500.00,40.00,1,0.00,2,1125,False
4452800,2,80.0,10.0,8.0,9.0,10.0,9.0,8.0,Jamaica Plain,0.9855499999999999,70.00,0,0,1,0.00,1,1125,False
7554801,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.92616,65.00,0,50.00,1,0.00,5,45,True
9349646,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9556,100.00,0,0,1,0.00,1,1125,False
5124772,3,87.0,9.0,9.0,9.0,10.0,7.0,9.0,Jamaica Plain,0.9528,250.00,500.00,125.00,4,25.00,5,1125,False
3977877,3,93.0,10.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9045666666666666,110.00,100.00,50.00,2,10.00,1,1125,False
6602167,23,89.0,9.0,10.0,10.0,9.0,8.0,9.0,Jamaica Plain,0.9025142857142858,168.00,200.00,50.00,1,0.00,2,1125,False
3987926,169,98.0,10.0,9.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9047782608695646,60.00,0,0,2,25.00,1,10,True
5729845,47,90.0,9.0,9.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9247261904761904,59.00,0,12.00,1,10.00,1,1125,False
9727523,15,91.0,9.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.7234272727272727,60.00,0,15.00,1,0.00,1,1125,False
12463555,7,94.0,10.0,10.0,10.0,9.0,10.0,10.0,Jamaica Plain,0.95268,145.00,0,50.00,3,25.00,2,1125,False
9137560,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.977,80.00,0,30.00,1,0.00,1,1125,False
3616081,127,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9380176000000002,114.00,200.00,45.00,1,36.00,2,30,True
8908145,2,80.0,9.0,10.0,10.0,10.0,10.0,8.0,Jamaica Plain,0.58575,170.00,300.00,0,2,50.00,2,1125,False
554720,108,95.0,10.0,10.0,10.0,9.0,10.0,9.0,Jamaica Plain,0.9025480392156865,240.00,0,135.00,1,0.00,3,14,False
1551467,5,95.0,10.0,9.0,9.0,9.0,9.0,8.0,Jamaica Plain,0.77354,150.00,0,50.00,2,35.00,2,1125,False
7743569,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9398272727272728,69.00,0,20.00,1,9.00,3,1125,False
732932,18,95.0,10.0,10.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.9159666666666667,80.00,0,25.00,1,0.00,3,180,False
749247,62,97.0,10.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.9180366666666667,85.00,0,0,1,10.00,1,7,True
667325,58,92.0,9.0,9.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.9083263157894733,75.00,0,25.00,2,25.00,1,120,False
10627514,2,90.0,10.0,8.0,10.0,10.0,8.0,8.0,Jamaica Plain,0.93295,70.00,0,50.00,0,0.00,1,1125,False
1885825,97,96.0,10.0,10.0,10.0,10.0,9.0,10.0,Jamaica Plain,0.9117841463414637,80.00,150.00,30.00,2,25.00,3,30,False
629814,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9541,225.00,500.00,100.00,4,20.00,3,365,False
1222327,2,100.0,10.0,10.0,10.0,10.0,10.0,9.0,Jamaica Plain,0.93685,178.00,0,0,1,0.00,7,365,False
10299047,13,94.0,9.0,9.0,10.0,10.0,9.0,9.0,Jamaica Plain,0.8304500000000002,175.00,0,20.00,1,0.00,1,1125,False
9463444,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9610307692307694,109.00,0,25.00,2,15.00,1,1125,False
6465075,20,94.0,10.0,10.0,9.0,9.0,9.0,9.0,Jamaica Plain,0.8859789473684209,383.00,"2,000.00",250.00,6,20.00,3,1125,True
9577988,23,97.0,10.0,9.0,10.0,10.0,10.0,10.0,Jamaica Plain,0.9046545454545455,99.00,0,25.00,2,20.00,3,1125,True
